# TUMS, HORA, TD, TREL, DADO_RAD, S, G, D, TV, REPOND, BANDA_EL, BANDA_AZ, BANDA_DT, SN_RD, ERRO_EL, ERRO_AZ, ELEV, AZIM, DIST, ELEV_F, AZIM_F, DIST_F, X_RAMPA_BR, Y_RAMPA_BR, Z_RAMPA_BR, X_RAMPA_F, Y_RAMPA_F, Z_RAMPA_F, VALIDO, ALT, DIST_CURV, Vx, Vy, Vz, Ax, Ay, Az, DESIGNADOR, DSG_ELEV, DSG_AZIM, DSG_DIST, DSG_X_RAMPA, DSG_Y_RAMPA, DSG_Z_RAMPA, DSG_Vx, DSG_Vy, DSG_Vz
053414200, 14:50:14.200, +00:00:00, 0, O, D, D, D, N, N, 2, 1, 9, 57, 6.99879, 4.88956, -0.16996, 74.13986, 6.060, -0.16996, 74.13986, 6.060, -0.011, -0.003, 0.002, -0.011, -0.003, 0.002, N, 43.7, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.16020, 74.14274, 6.071, 0.000, 0.000, 0.002, 0.00, 0.00, 0.00
053414250, 14:50:14.250, +00:00:00, 30, O, D, D, D, N, N, 2, 1, 9, 57, 7.09466, 4.50607, -0.17133, 74.13986, 6.060, -0.17133, 74.13986, 6.060, -0.011, -0.003, 0.002, -0.011, -0.003, 0.002, N, 43.6, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.15819, 74.14242, 6.072, 0.000, 0.000, 0.002, 0.00, 0.00, 0.00
053414300, 14:50:14.300, +00:00:00, 80, O, D, D, D, N, N, 2, 1, 9, 57, 6.32767, 4.50607, -0.17133, 74.13986, 6.060, -0.17133, 74.13986, 6.060, -0.011, -0.003, 0.002, -0.011, -0.003, 0.002, N, 43.6, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.14861, 74.14124, 6.072, 0.000, 0.000, 0.003, 0.00, 0.00, 0.00
053414350, 14:50:14.350, +00:00:00, 130, O, D, D, D, N, N, 2, 1, 9, 57, 6.51942, 6.04005, -0.17133, 74.13986, 6.060, -0.17133, 74.13986, 6.060, -0.011, -0.003, 0.002, -0.011, -0.003, 0.002, N, 43.6, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.13126, 74.13925, 6.072, 0.001, 0.001, 0.005, 0.00, 0.00, 0.00
053414400, 14:50:14.400, +00:00:00, 180, O, D, D, D, N, N, 2, 1, 9, 57, 6.51942, 6.61529, -0.17133, 74.13986, 6.060, -0.17133, 74.13986, 6.060, -0.011, -0.003, 0.002, -0.011, -0.003, 0.002, N, 43.6, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.10614, 74.13647, 6.073, 0.001, 0.001, 0.007, 0.00, 0.00, 0.00
053414450, 14:50:14.450, +00:00:00, 230, O, D, D, D, N, N, 2, 1, 9, 57, 7.19053, 8.24515, -0.16996, 74.13986, 6.060, -0.16996, 74.13986, 6.060, -0.011, -0.003, 0.002, -0.011, -0.003, 0.002, N, 43.7, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.07325, 74.13288, 6.073, 0.001, 0.002, 0.011, 0.00, 0.00, 0.00
053414500, 14:50:14.500, +00:00:00, 280, O, D, D, D, N, N, 2, 1, 9, 57, 9.87500, 10.73787, -0.15897, 74.13986, 6.060, -0.15897, 74.13986, 6.060, -0.011, -0.003, 0.003, -0.011, -0.003, 0.003, N, 44.9, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.03259, 74.12848, 6.074, 0.002, 0.002, 0.015, 0.00, 0.00, 0.00
053414550, 14:50:14.550, +00:00:00, 330, O, D, D, D, N, N, 2, 1, 9, 57, 9.29976, 9.87500, -0.12876, 74.13986, 6.060, -0.12876, 74.13986, 6.060, -0.011, -0.003, 0.006, -0.011, -0.003, 0.006, N, 48.1, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.01583, 74.12329, 6.074, 0.002, 0.003, 0.020, 0.00, 0.00, 0.00
053414600, 14:50:14.600, +00:00:00, 380, O, D, D, D, N, N, 2, 1, 9, 57, 11.21723, 9.58738, -0.09992, 74.13849, 6.060, -0.09992, 74.13849, 6.060, -0.011, -0.002, 0.009, -0.011, -0.002, 0.009, N, 51.1, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.07202, 74.11730, 6.075, 0.003, 0.004, 0.026, 0.00, 0.00, 0.00
053414650, 14:50:14.650, +00:00:00, 430, O, D, D, D, N, N, 2, 1, 9, 57, 11.69660, 7.66990, -0.06284, 74.13300, 6.060, -0.06284, 74.13300, 6.060, -0.011, -0.002, 0.013, -0.011, -0.002, 0.013, N, 55.1, 0.011, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.13595, 74.11051, 6.076, 0.003, 0.005, 0.033, 0.00, 0.00, 0.00
