# TUMS, HORA, TD, TREL, DADO_RAD, S, G, D, TV, REPOND, BANDA_EL, BANDA_AZ, BANDA_DT, SN_RD, ERRO_EL, ERRO_AZ, ELEV, AZIM, DIST, ELEV_F, AZIM_F, DIST_F, X_RAMPA_BR, Y_RAMPA_BR, Z_RAMPA_BR, X_RAMPA_F, Y_RAMPA_F, Z_RAMPA_F, VALIDO, ALT, DIST_CURV, Vx, Vy, Vz, Ax, Ay, Az, DESIGNADOR, DSG_ELEV, DSG_AZIM, DSG_DIST, DSG_X_RAMPA, DSG_Y_RAMPA, DSG_Z_RAMPA, DSG_Vx, DSG_Vy, DSG_Vz
053414250, 14:50:14.250, +00:00:00, 0, O, D, D, D, N, N, 2, 1, 6, 77, 2.20510, 2.39684, -0.14090, 297.93240, 30.062, -0.14090, 297.93240, 30.062, 0.016, -0.009, 0.000, 0.016, -0.009, 0.000, N, 42.2, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.08559, 297.93389, 30.080, 0.000, 0.000, 0.002, 0.00, 0.00, 0.00
053414300, 14:50:14.300, +00:00:00, 41, O, D, D, D, N, N, 2, 1, 6, 77, 2.39684, 3.16384, -0.14090, 297.93240, 30.062, -0.14090, 297.93240, 30.062, 0.016, -0.009, 0.000, 0.016, -0.009, 0.000, N, 42.2, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.08489, 297.93422, 30.080, 0.000, 0.000, 0.002, 0.00, 0.00, 0.00
053414350, 14:50:14.350, +00:00:00, 91, O, D, D, D, N, N, 2, 1, 6, 77, 2.39684, 3.73908, -0.14090, 297.93240, 30.062, -0.14090, 297.93240, 30.062, 0.016, -0.009, 0.000, 0.016, -0.009, 0.000, N, 42.2, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.08261, 297.93482, 30.080, 0.001, 0.001, 0.003, 0.00, 0.00, 0.00
053414400, 14:50:14.400, +00:00:00, 141, O, D, D, D, N, N, 2, 1, 6, 77, 2.68447, 2.97209, -0.14090, 297.93240, 30.062, -0.14090, 297.93240, 30.062, 0.016, -0.009, 0.000, 0.016, -0.009, 0.000, N, 42.2, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.07877, 297.93563, 30.080, 0.001, 0.001, 0.005, 0.00, 0.00, 0.00
053414450, 14:50:14.450, +00:00:00, 191, O, D, D, D, N, N, 2, 1, 6, 77, 2.78034, 2.97209, -0.13850, 297.93240, 30.062, -0.13850, 297.93240, 30.062, 0.016, -0.009, 0.001, 0.016, -0.009, 0.001, N, 43.4, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.07335, 297.93664, 30.080, 0.001, 0.001, 0.008, 0.00, 0.00, 0.00
053414500, 14:50:14.500, +00:00:00, 241, O, D, D, D, N, N, 2, 1, 6, 77, 2.78034, 2.10922, -0.13541, 297.93240, 30.062, -0.13541, 297.93240, 30.062, 0.016, -0.009, 0.003, 0.016, -0.009, 0.003, N, 45.0, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.06636, 297.93787, 30.080, 0.002, 0.002, 0.012, 0.00, 0.00, 0.00
053414550, 14:50:14.550, +00:00:00, 291, O, D, D, D, N, N, 2, 1, 6, 77, 2.10922, 2.49272, -0.13163, 297.93343, 30.062, -0.13163, 297.93343, 30.062, 0.016, -0.009, 0.005, 0.016, -0.009, 0.005, N, 47.0, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.05781, 297.93930, 30.080, 0.002, 0.002, 0.016, 0.00, 0.00, 0.00
053414600, 14:50:14.600, +00:00:00, 341, O, D, D, D, N, N, 2, 1, 6, 77, 1.91748, 2.58859, -0.12648, 297.93617, 30.062, -0.12648, 297.93617, 30.062, 0.017, -0.007, 0.008, 0.017, -0.007, 0.008, N, 49.7, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.04769, 297.94095, 30.080, 0.002, 0.003, 0.021, 0.00, 0.00, 0.00
053414650, 14:50:14.650, +00:00:00, 391, O, D, D, D, N, N, 2, 1, 6, 77, 2.20510, 2.30097, -0.12167, 297.93789, 30.062, -0.12167, 297.93789, 30.062, 0.017, -0.006, 0.010, 0.017, -0.006, 0.010, N, 52.2, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.03599, 297.94280, 30.080, 0.003, 0.004, 0.028, 0.00, 0.00, 0.00
053414700, 14:50:14.700, +00:00:00, 441, O, D, D, D, N, N, 2, 1, 6, 77, 2.68447, 2.49272, -0.11618, 297.93892, 30.062, -0.11618, 297.93892, 30.062, 0.017, -0.006, 0.013, 0.017, -0.006, 0.013, N, 55.1, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.02273, 297.94486, 30.080, 0.004, 0.005, 0.035, 0.00, 0.00, 0.00
053414750, 14:50:14.750, +00:00:00, 491, O, D, D, D, N, N, 2, 1, 6, 77, 3.25971, 3.45146, -0.10623, 297.93892, 30.062, -0.10623, 297.93892, 30.062, 0.017, -0.006, 0.018, 0.017, -0.006, 0.018, N, 60.4, 0.018, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, -0.00790, 297.94713, 30.080, 0.004, 0.006, 0.042, 0.00, 0.00, 0.00
053414800, 14:50:14.800, +00:00:00, 541, O, D, D, D, N, N, 2, 1, 6, 77, 3.83495, 6.23180, -0.09318, 297.94167, 30.062, -0.09318, 297.94167, 30.062, 0.018, -0.005, 0.025, 0.018, -0.005, 0.025, N, 67.2, 0.019, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.00851, 297.94961, 30.080, 0.005, 0.007, 0.051, 0.00, 0.00, 0.00
053414850, 14:50:14.850, +00:00:00, 591, O, D, D, D, N, N, 2, 1, 6, 77, 4.79369, 8.53277, -0.08048, 297.94441, 30.062, -0.08048, 297.94441, 30.062, 0.019, -0.003, 0.032, 0.019, -0.003, 0.032, N, 73.9, 0.019, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.02648, 297.95229, 30.080, 0.005, 0.008, 0.060, 0.00, 0.00, 0.00
053414900, 14:50:14.900, +00:00:00, 641, O, D, D, D, N, N, 2, 1, 6, 77, 6.13592, 5.65655, -0.06159, 297.94750, 30.062, -0.06159, 297.94750, 30.062, 0.020, -0.002, 0.042, 0.020, -0.002, 0.042, N, 83.8, 0.020, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.04602, 297.95519, 30.080, 0.006, 0.010, 0.071, 0.00, 0.00, 0.00
053414950, 14:50:14.950, +00:00:01, 691, O, D, D, D, N, N, 2, 1, 6, 77, 5.84830, 8.14927, -0.04510, 297.94991, 30.062, -0.04510, 297.94991, 30.062, 0.020, -0.001, 0.050, 0.020, -0.001, 0.050, N, 92.4, 0.020, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.06710, 297.95829, 30.080, 0.007, 0.011, 0.082, 0.00, 0.00, 0.00
053415000, 14:50:15.000, +00:00:01, 741, O, D, D, D, N, N, 2, 1, 6, 75, 5.36893, 8.43689, -0.02482, 297.95300, 30.062, -0.02482, 297.95300, 30.062, 0.021, 0.000, 0.061, 0.021, 0.000, 0.061, N, 103.1, 0.021, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.08975, 297.96161, 30.080, 0.008, 0.013, 0.094, 0.00, 0.00, 0.00
053415050, 14:50:15.050, +00:00:01, 791, O, D, D, D, N, N, 2, 1, 6, 75, 5.56068, 8.24515, -0.00762, 297.95574, 30.062, -0.00762, 297.95574, 30.062, 0.022, 0.002, 0.070, 0.022, 0.002, 0.070, N, 112.1, 0.022, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, Trajetoria Nominal, 0.11396, 297.96513, 30.080, 0.009, 0.014, 0.106, 0.00, 0.00, 0.00
